company,title,sector,location,career,education,category
(주)세종분석연구원,Senior AI Engineer/머신러닝 엔지니어 채용,기술지원데이터분석가데이터엔지니어유지보수데이터라벨링 외,서울전체 외,경력 · 정규직,대학교(4년)↑,Data Analysis
대한상공회의소,[K-뉴딜] 어도비 AI 콘텐츠 마케팅 과정,데이터분석가데이터엔지니어딥러닝머신러닝AI(인공지능) 외,서울전체 외,신입 · 경력 · 교육생,학력무관,Data Analysis
대한상공회의소,[IBM] Cloud Native Dev base AI agent 6기,데이터분석가데이터엔지니어딥러닝머신러닝AI(인공지능) 외,서울전체 외,신입 · 경력 · 교육생,학력무관,Data Analysis
(주)디윅스,2026년 하반기 대규모 경력 채용,데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외,서울 강남구 외,경력 3년↑ · 정규직,학력무관,Data Analysis
(주)바스젠바이오,AI 신약사업본부 (Bioinformatics 연구원 채용),데이터분석가데이터엔지니어데이터마이닝딥러닝머신러닝 외,서울 마포구,경력 2년↑ · 정규직,석사↑,Data Analysis
(주)국민은행,2026년 하반기 신입행원(L1) 「AI·플랫폼개발」부문 채용,데이터분석가데이터엔지니어보안컨설팅앱개발웹개발 외,서울전체 외,신입 · 정규직,학력무관,Data Analysis
스타트업코드,"[IT 강사 채용] 클라우드, 인공지능 강사",데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외,서울 동대문구 외,신입 · 경력 · 프리랜서,학력무관,Data Analysis
(주)인바디,2026 하반기 GBD 신입채용 - 통합 직무,기술지원데이터분석가데이터엔지니어백엔드/서버개발딥러닝 외,서울 강남구,신입 · 인턴직,대학교(4년)↑,Data Analysis
[3M] 한국쓰리엠 신입/경력사원 모집 안내,[3M] 한국쓰리엠 신입/경력사원 모집 안내,기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외,서울 영등포구 외,신입 · 경력 · 정규직 외,대학교(4년)↑,Data Analysis
(주)이노에이엑스,AX Center PM/AI 시스템개발 경력 채용,기술지원데이터분석가데이터엔지니어백엔드/서버개발웹개발 외,서울전체 외,경력 3년↑ · 정규직,대학교(4년)↑,Data Analysis
한국전자기술연구원,한국전자기술연구원 전문계약직원 부문별 채용 공고,데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외,경기 성남시 외,신입 · 경력 · 계약직,고졸↑,Data Analysis
(주)인터엑스,2026 하반기 인터엑스 대규모 PM 채용,데이터분석가데이터엔지니어백엔드/서버개발웹개발프론트엔드 외,서울전체 외,경력무관 · 정규직,학력무관,Data Analysis
(주)엘지씨엔에스,2026 LG CNS 신입채용,데이터분석가데이터엔지니어백엔드/서버개발보안컨설팅앱개발 외,서울전체 외,신입 · 정규직,대학교(4년)↑,Data Analysis
금호석유화학그룹,2026년 하반기 금호석유화학그룹 신입사원 공개채용,데이터분석가데이터엔지니어백엔드/서버개발보안컨설팅웹개발 외,서울전체 외,신입 · 정규직,대학교(4년)↑,Data Analysis
에이콘아카데미 홍대학원,한화에어로스페이스 참여기업 전액국비지원 AI실무인재 양성과정 교육생 모집,데이터분석가데이터엔지니어백엔드/서버개발프론트엔드딥러닝 외,서울전체 외,경력무관 · 교육생,학력무관,Data Analysis
(주)메디웨일,통계 분석가 (계약직 · 육아휴직 대체),데이터분석가데이터엔지니어데이터라벨링데이터마이닝데이터시각화 외,서울 강남구 외,경력무관 · 계약직,대학교(4년)↑,Data Analysis
(주)메타엠,[메타엠] AICC플랫폼실 AI 엔지니어 채용,데이터엔지니어백엔드/서버개발딥러닝머신러닝모델링 외,서울 중구,경력 1년↑ · 정규직,학력무관,Data Engineer
스피치로그(주),"이어드림스쿨, K-디지털트레이닝수료자 데이터사이언티스트 채용",데이터분석가데이터마이닝딥러닝머신러닝AI(인공지능) 외,서울 용산구,신입 · 정규직,학력무관,Data Analysis
(주)브이피피랩,VPP 플랫폼개발 실장,데이터엔지니어데이터시각화딥러닝머신러닝모델링 외,서울 강남구,10 ~ 20년 · 정규직,대학교(4년)↑,Data Engineer
(주)에스엠티바이오,바이오관련 AI 유경험자 핵심인재 모집 AI Engineer 경력.,데이터분석가웹개발딥러닝머신러닝빅데이터 외,서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,Data Analysis
서울아산병원,서울아산병원 의생명공학 &amp; 의료정보학 연구실 연구원 모집,데이터분석가딥러닝머신러닝빅데이터알고리즘 외,서울 송파구,경력무관 · 위촉직,대학교(4년)↑,Data Analysis
(주)메인,(주)메인 생성형 AI(LLM) 개발자 경력 채용 공고,데이터분석가딥러닝머신러닝NLP(자연어처리)NLU(자연어이해) 외,서울 강남구,경력 3년↑ · 정규직,학력무관,Data Analysis
(주)뷰런테크놀로지,Deep Learning Engineer(Perception),데이터엔지니어딥러닝머신러닝모델링알고리즘 외,서울 서초구 외,2 ~ 10년 · 정규직,석사↑,Data Engineer
팀스파르타(주),[KANT] 오프라인 AI 교육과정 튜터 모집 (Private LLM Infra),데이터엔지니어백엔드/서버개발딥러닝머신러닝빅데이터 외,서울 구로구,경력 3년↑ · 프리랜서,학력무관,Data Engineer
